region,rubric,count,rank
Липецкий район,Кафе,12,2.0
Липецкий район,Кофейня,6,3.0
Липецкий район,Салон красоты,5,4.0
Липецкий район,"Бар, паб",3,5.0
Липецкий район,Гостиница,3,6.0
Липецкий район,Пиццерия,3,7.0
Липецкий район,Аптека,2,8.0
Липецкий район,Магазин автозапчастей и автотоваров,2,9.0
Магадан,Гостиница,17,1.0
Магадан,Ресторан,16,2.0
Магадан,Кафе,15,3.0
Магадан,Быстрое питание,8,4.0
Магадан,Магазин продуктов,8,5.0
Магадан,Парк культуры и отдыха,7,6.0
Магадан,Супермаркет,6,7.0
Магадан,Доставка еды и обедов,4,8.0
Магадан,Кофейня,3,9.0
Магаданская область,Быстрое питание,1,1.0
Магаданская область,Доставка еды и обедов,1,2.0
Магаданская область,Кафе,1,3.0
Магаданская область,Клуб виртуальной реальности,1,4.0
Магаданская область,Клуб для детей и подростков,1,5.0
Магаданская область,Клуб досуга,1,6.0
Магаданская область,Кофе с собой,1,7.0
Магаданская область,Кофейня,1,8.0
Магаданская область,Пиццерия,1,9.0
Москва,Кафе,12095,1.0
Москва,Ресторан,11962,2.0
Москва,Гостиница,9165,3.0
Москва,Магазин продуктов,4370,4.0
Москва,Супермаркет,4087,5.0
Москва,"Бар, паб",4077,6.0
Москва,Салон красоты,3771,7.0
Москва,Быстрое питание,3397,8.0
Москва,Доставка еды и обедов,3040,9.0
Московская обл.,Кафе,58,1.0
Московская обл.,Ресторан,42,2.0
Московская обл.,Гостиница,31,3.0
Московская обл.,"Бар, паб",29,4.0
Московская обл.,Быстрое питание,19,5.0
Московская обл.,Магазин продуктов,16,6.0
Московская обл.,"Медцентр, клиника",12,7.0
Московская обл.,Музей,12,8.0
Московская обл.,Салон красоты,12,9.0
Московская область,Ресторан,5792,1.0
Московская область,Кафе,5747,2.0
Московская область,Гостиница,4269,3.0
Московская область,Магазин продуктов,2140,4.0
Московская область,Супермаркет,2013,5.0
Московская область,"Бар, паб",1944,6.0
Московская область,Салон красоты,1791,7.0
Московская область,Быстрое питание,1733,8.0
Московская область,Доставка еды и обедов,1440,9.0
Мурманск,Кафе,118,1.0
Мурманск,Ресторан,111,2.0
Мурманск,Гостиница,93,3.0
Мурманск,Магазин продуктов,49,4.0
Мурманск,"Бар, паб",47,5.0
Мурманск,Супермаркет,46,6.0
Мурманск,Салон красоты,40,7.0
Мурманск,Быстрое питание,37,8.0
Мурманск,"Автосервис, автотехцентр",28,9.0
Мурманская область,Гостиница,102,1.0
Мурманская область,Кафе,102,2.0
Мурманская область,Ресторан,77,3.0
Мурманская область,Пиццерия,35,4.0
Мурманская область,Доставка еды и обедов,34,5.0
Мурманская область,Магазин продуктов,31,6.0
Мурманская область,Супермаркет,29,7.0
Мурманская область,Быстрое питание,26,8.0
Мурманская область,"Автосервис, автотехцентр",25,9.0
Нахимовский муниципальный округ,Ресторан,8,1.0
Нахимовский муниципальный округ,"Бар, паб",5,2.0
Нахимовский муниципальный округ,Кафе,5,3.0
Нахимовский муниципальный округ,Банкетный зал,4,4.0
Нахимовский муниципальный округ,"Автосервис, автотехцентр",3,5.0
Нахимовский муниципальный округ,Гостиница,3,6.0
Нахимовский муниципальный округ,Столовая,3,7.0
Нахимовский муниципальный округ,Каток,2,8.0
Нахимовский муниципальный округ,Магазин алкогольных напитков,2,9.0
Ненецкий автономный округ,Ресторан,6,1.0
Ненецкий автономный округ,Кафе,5,2.0
Ненецкий автономный округ,Доставка еды и обедов,3,3.0
Ненецкий автономный округ,Салон красоты,3,4.0
Ненецкий автономный округ,Автосалон,2,5.0
Ненецкий автономный округ,"Бар, паб",2,6.0
Ненецкий автономный округ,Гостиница,2,7.0
Ненецкий автономный округ,Ногтевая студия,2,8.0
Ненецкий автономный округ,Пиццерия,2,9.0
Нижегородская обл.,Кафе,2,1.0
Нижегородская обл.,Магазин продуктов,2,2.0
Нижегородская обл.,Магазин сантехники,2,3.0
Нижегородская обл.,Садовый центр,2,4.0
Нижегородская обл.,Строительный магазин,2,5.0
Нижегородская обл.,Агентство недвижимости,1,6.0
Нижегородская обл.,"Бар, паб",1,7.0
Нижегородская обл.,"Водная база, лодочная станция",1,8.0
Нижегородская обл.,Магазин алкогольных напитков,1,9.0
Нижегородская область,Ресторан,344,1.0
Нижегородская область,Кафе,333,2.0
Нижегородская область,Гостиница,238,3.0
Нижегородская область,Магазин продуктов,124,4.0
Нижегородская область,Быстрое питание,117,5.0
Нижегородская область,Супермаркет,101,6.0
Нижегородская область,"Бар, паб",97,7.0
Нижегородская область,Доставка еды и обедов,86,8.0
Нижегородская область,Салон красоты,86,9.0
Нижний Новгород,Кафе,1002,1.0
Нижний Новгород,Ресторан,958,2.0
Нижний Новгород,Гостиница,737,3.0
Нижний Новгород,Магазин продуктов,344,4.0
Нижний Новгород,"Бар, паб",338,5.0
Нижний Новгород,Супермаркет,337,6.0
Нижний Новгород,Салон красоты,336,7.0
Нижний Новгород,Доставка еды и обедов,285,8.0
Нижний Новгород,Быстрое питание,284,9.0
Новгородская область,Ресторан,61,1.0
Новгородская область,Кафе,52,2.0
Новгородская область,Гостиница,42,3.0
Новгородская область,Быстрое питание,30,4.0
Новгородская область,Магазин продуктов,23,5.0
Новгородская область,Салон красоты,23,6.0
Новгородская область,Супермаркет,21,7.0
Новгородская область,"Бар, паб",18,8.0
Новгородская область,Музей,17,9.0
Новгородский район,Кафе,9,1.0
Новгородский район,Ресторан,9,2.0
Новгородский район,Гостиница,7,3.0
Новгородский район,Торговый центр,6,4.0
Новгородский район,Развлекательный центр,5,5.0
Новгородский район,Магазин продуктов,4,6.0
Новгородский район,Магазин подарков и сувениров,3,7.0
Новгородский район,Салон красоты,3,8.0
Новгородский район,Аптека,2,9.0
Новосибирск,Ресторан,611,1.0
Новосибирск,Кафе,591,2.0
Новосибирск,Гостиница,501,3.0
Новосибирск,"Бар, паб",205,4.0
Новосибирск,Магазин продуктов,194,5.0
Новосибирск,Супермаркет,168,6.0
Новосибирск,Быстрое питание,160,7.0
Новосибирск,Доставка еды и обедов,145,8.0
Новосибирск,Кофейня,133,9.0
Новосибирская обл.,Аптека,2,1.0
Новосибирская обл.,Гостиница,2,2.0
Новосибирская обл.,"База, дом отдыха",1,3.0
Новосибирская обл.,Кафе,1,4.0
Новосибирская обл.,Ногтевая студия,1,5.0
Новосибирская обл.,Ночной клуб,1,6.0
Новосибирская обл.,Пункт выдачи,1,7.0
Новосибирская обл.,Ресторан,1,8.0
Новосибирская обл.,Салон бровей и ресниц,1,9.0
Новосибирская область,Гостиница,113,1.0
Новосибирская область,Ресторан,113,2.0
Новосибирская область,Кафе,95,3.0
Новосибирская область,Магазин продуктов,47,4.0
Новосибирская область,Супермаркет,46,5.0
Новосибирская область,Салон красоты,41,6.0
Новосибирская область,Доставка еды и обедов,37,7.0
Новосибирская область,"Бар, паб",31,8.0
Новосибирская область,Быстрое питание,28,9.0
Новосибирский район,Кафе,28,1.0
Новосибирский район,Ресторан,22,2.0
Новосибирский район,Гостиница,16,3.0
Новосибирский район,Быстрое питание,8,4.0
Новосибирский район,Доставка еды и обедов,8,5.0
Новосибирский район,Салон красоты,8,6.0
Новосибирский район,"Бар, паб",7,7.0
Новосибирский район,Супермаркет,7,8.0
Новосибирский район,"Медцентр, клиника",6,9.0
Омск,Ресторан,287,1.0
Омск,Кафе,286,2.0
Омск,Гостиница,209,3.0
Омск,Магазин продуктов,113,4.0
Омск,Супермаркет,106,5.0
Омск,"Бар, паб",92,6.0
Омск,Доставка еды и обедов,73,7.0
Омск,Салон красоты,72,8.0
Омск,"Автосервис, автотехцентр",70,9.0
Омская область,Ресторан,23,1.0
Омская область,Кафе,21,2.0
Омская область,Гостиница,14,3.0
Омская область,Быстрое питание,11,4.0
Омская область,Парк культуры и отдыха,11,5.0
Омская область,Супермаркет,11,6.0
Омская область,Музыкальный клуб,8,7.0
Омская область,Магазин продуктов,7,8.0
Омская область,Салон красоты,7,9.0
Омский район,Кафе,13,1.0
Омский район,Ресторан,8,2.0
Омский район,Гостиница,7,3.0
Омский район,Доставка еды и обедов,7,4.0
Омский район,"Бар, паб",6,5.0
Омский район,Кальян-бар,5,6.0
Омский район,Магазин продуктов,4,7.0
Омский район,Спа-салон,4,8.0
Омский район,Театр,4,9.0
Орел,"База, дом отдыха",1,1.0
Орел,Гипермаркет,1,2.0
Орел,Гостиница,1,3.0
Орел,Доставка еды и обедов,1,4.0
Орел,Лесопарк,1,5.0
Орел,Парк культуры и отдыха,1,6.0
Орел,Пиццерия,1,7.0
Орел,Продуктовый гипермаркет,1,8.0
Орел,Сквер,1,9.0
Оренбург,Ресторан,220,1.0
Оренбург,Кафе,196,2.0
Оренбург,Гостиница,180,3.0
Оренбург,"Бар, паб",83,4.0
Оренбург,Магазин продуктов,77,5.0
Оренбург,Салон красоты,68,6.0
Оренбург,Супермаркет,63,7.0
Оренбург,Доставка еды и обедов,52,8.0
Оренбург,Быстрое питание,47,9.0
Оренбургская область,Кафе,110,1.0
Оренбургская область,Ресторан,89,2.0
Оренбургская область,Гостиница,61,3.0
Оренбургская область,"Бар, паб",35,4.0
Оренбургская область,Доставка еды и обедов,29,5.0
Оренбургская область,Магазин продуктов,29,6.0
Оренбургская область,Супермаркет,29,7.0
Оренбургская область,Салон красоты,27,8.0
Оренбургская область,Пиццерия,25,9.0
Оренбургский район,Парк культуры и отдыха,10,1.0
Оренбургский район,Кафе,7,2.0
Оренбургский район,Супермаркет,7,3.0
Оренбургский район,"Бар, паб",5,4.0
Оренбургский район,Магазин продуктов,5,5.0
Оренбургский район,Ресторан,5,6.0
Оренбургский район,Гостиница,4,7.0
Оренбургский район,Караоке-клуб,4,8.0
Оренбургский район,Быстрое питание,3,9.0
Орловская область,Кафе,29,1.0
Орловская область,Ресторан,21,2.0
Орловская область,Супермаркет,12,3.0
Орловская область,Гостиница,9,4.0
Орловская область,Магазин продуктов,8,5.0
Орловская область,"Бар, паб",6,6.0
Орловская область,Быстрое питание,6,7.0
Орловская область,Пиццерия,6,8.0
Орловская область,"Автосервис, автотехцентр",5,9.0
Орловский муниципальный округ,Кафе,7,1.0
Орловский муниципальный округ,Ресторан,7,2.0
Орловский муниципальный округ,Салон красоты,5,3.0
Орловский муниципальный округ,"Бар, паб",4,4.0
Орловский муниципальный округ,Гостиница,4,5.0
Орловский муниципальный округ,Доставка еды и обедов,3,6.0
Орловский муниципальный округ,Кофейня,3,7.0
Орловский муниципальный округ,"Медцентр, клиника",3,8.0
Орловский муниципальный округ,Ногтевая студия,3,9.0
Орёл,Кафе,130,1.0
Орёл,Ресторан,105,2.0
Орёл,Гостиница,80,3.0
Орёл,Супермаркет,51,4.0
Орёл,Салон красоты,47,5.0
Орёл,Магазин продуктов,44,6.0
Орёл,Быстрое питание,41,7.0
Орёл,Доставка еды и обедов,36,8.0
Орёл,Пиццерия,31,9.0
Пенза,Кафе,170,1.0
Пенза,Ресторан,150,2.0
Пенза,Гостиница,138,3.0
Пенза,Магазин продуктов,73,4.0
Пенза,Супермаркет,72,5.0
Пенза,"Бар, паб",56,6.0
Пенза,Быстрое питание,54,7.0
Пенза,"Автосервис, автотехцентр",44,8.0
Пенза,Салон красоты,43,9.0
Пензенская область,Кафе,44,1.0
Пензенская область,Ресторан,33,2.0
Пензенская область,Гостиница,31,3.0
Пензенская область,Быстрое питание,21,4.0
Пензенская область,Магазин продуктов,18,5.0
Пензенская область,Супермаркет,18,6.0
Пензенская область,Салон красоты,16,7.0
Пензенская область,Ногтевая студия,15,8.0
Пензенская область,Парикмахерская,15,9.0
Пензенский район,Ресторан,17,1.0
Пензенский район,Кафе,14,2.0
Пензенский район,"Бар, паб",9,3.0
Пензенский район,Гостиница,8,4.0
Пензенский район,Развлекательный центр,6,5.0
Пензенский район,Парикмахерская,5,6.0
Пензенский район,Супермаркет,5,7.0
Пензенский район,Торговый центр,5,8.0
Пензенский район,Доставка еды и обедов,4,9.0
Пермский край,Кафе,143,1.0
Пермский край,Ресторан,120,2.0
Пермский край,Гостиница,93,3.0
Пермский край,"Бар, паб",51,4.0
Пермский край,Магазин продуктов,42,5.0
Пермский край,Доставка еды и обедов,36,6.0
Пермский край,Салон красоты,36,7.0
Пермский край,Супермаркет,33,8.0
Пермский край,Быстрое питание,29,9.0
Пермский муниципальный округ,Кафе,26,1.0
Пермский муниципальный округ,Ресторан,24,2.0
Пермский муниципальный округ,Супермаркет,18,3.0
Пермский муниципальный округ,"Бар, паб",11,4.0
Пермский муниципальный округ,Гостиница,10,5.0
Пермский муниципальный округ,Салон красоты,10,6.0
Пермский муниципальный округ,Доставка еды и обедов,9,7.0
Пермский муниципальный округ,Быстрое питание,8,8.0
Пермский муниципальный округ,Магазин продуктов,8,9.0
Пермский район,Кафе,9,1.0
Пермский район,Ресторан,9,2.0
Пермский район,Гостиница,5,3.0
Пермский район,Салон красоты,5,4.0
Пермский район,Быстрое питание,4,5.0
Пермский район,"Автосервис, автотехцентр",3,6.0
Пермский район,"Бар, паб",3,7.0
Пермский район,Доставка еды и обедов,3,8.0
Пермский район,Достопримечательность,3,9.0
Пермь,Кафе,381,1.0
Пермь,Ресторан,374,2.0
Пермь,Гостиница,264,3.0
Пермь,Магазин продуктов,140,4.0
Пермь,"Бар, паб",130,5.0
Пермь,Быстрое питание,129,6.0
Пермь,Супермаркет,126,7.0
Пермь,Доставка еды и обедов,94,8.0
Пермь,Салон красоты,81,9.0
Приморский край,Кафе,401,1.0
Приморский край,Ресторан,394,2.0
Приморский край,Гостиница,242,3.0
Приморский край,Магазин продуктов,150,4.0
Приморский край,"Бар, паб",129,5.0
Приморский край,Быстрое питание,123,6.0
Приморский край,Супермаркет,119,7.0
Приморский край,Салон красоты,110,8.0
Приморский край,Доставка еды и обедов,79,9.0
Псков,Ресторан,120,1.0
Псков,Кафе,113,2.0
Псков,Гостиница,73,3.0
Псков,"Бар, паб",60,4.0
Псков,Магазин продуктов,57,5.0
Псков,Салон красоты,38,6.0
Псков,Супермаркет,38,7.0
Псков,Музей,35,8.0
Псков,"Автосервис, автотехцентр",34,9.0
Псковская область,Кафе,108,1.0
Псковская область,Ресторан,92,2.0
Псковская область,Гостиница,72,3.0
Псковская область,"Бар, паб",37,4.0
Псковская область,Супермаркет,30,5.0
Псковская область,Быстрое питание,29,6.0
Псковская область,Магазин продуктов,29,7.0
Псковская область,Салон красоты,24,8.0
Псковская область,Доставка еды и обедов,17,9.0
Псковский район,Кафе,19,1.0
Псковский район,Гостиница,14,2.0
Псковский район,Ресторан,9,3.0
Псковский район,Пиццерия,7,4.0
Псковский район,"Бар, паб",5,5.0
Псковский район,Доставка еды и обедов,4,6.0
Псковский район,Магазин парфюмерии и косметики,3,7.0
Псковский район,Ногтевая студия,3,8.0
Псковский район,Супермаркет,3,9.0
Республика Адыгея,Кафе,184,1.0
Республика Адыгея,Ресторан,157,2.0
Республика Адыгея,Гостиница,125,3.0
Республика Адыгея,Супермаркет,67,4.0
Республика Адыгея,Быстрое питание,64,5.0
Республика Адыгея,Магазин продуктов,64,6.0
Республика Адыгея,Салон красоты,62,7.0
Республика Адыгея,"Бар, паб",52,8.0
Республика Адыгея,Кофейня,48,9.0
Республика Алтай,Кафе,141,1.0
Республика Алтай,Ресторан,124,2.0
Республика Алтай,Гостиница,83,3.0
Республика Алтай,Быстрое питание,63,4.0
Республика Алтай,Магазин продуктов,49,5.0
Республика Алтай,Супермаркет,43,6.0
Республика Алтай,Салон красоты,41,7.0
Республика Алтай,"Бар, паб",38,8.0
Республика Алтай,Пиццерия,32,9.0
Республика Башкортостан,Кафе,725,1.0
Республика Башкортостан,Ресторан,648,2.0
Республика Башкортостан,Гостиница,535,3.0
Республика Башкортостан,Магазин продуктов,292,4.0
Республика Башкортостан,Супермаркет,235,5.0
Республика Башкортостан,Салон красоты,213,6.0
Республика Башкортостан,"Бар, паб",212,7.0
Республика Башкортостан,Быстрое питание,205,8.0
Республика Башкортостан,Доставка еды и обедов,152,9.0
Республика Бурятия,Гостиница,73,1.0
Республика Бурятия,Кафе,72,2.0
Республика Бурятия,Ресторан,54,3.0
Республика Бурятия,Салон красоты,37,4.0
Республика Бурятия,Супермаркет,27,5.0
Республика Бурятия,"Бар, паб",26,6.0
Республика Бурятия,Магазин продуктов,26,7.0
Республика Бурятия,Ногтевая студия,24,8.0
Республика Бурятия,Быстрое питание,19,9.0
Республика Дагестан,Кафе,392,1.0
Республика Дагестан,Ресторан,353,2.0
Республика Дагестан,Гостиница,252,3.0
Республика Дагестан,Супермаркет,143,4.0
Республика Дагестан,Магазин продуктов,142,5.0
Республика Дагестан,Быстрое питание,115,6.0
Республика Дагестан,"Бар, паб",111,7.0
Республика Дагестан,Салон красоты,110,8.0
Республика Дагестан,Доставка еды и обедов,91,9.0
Республика Ингушетия,Кафе,5,1.0
Республика Ингушетия,Ресторан,5,2.0
Республика Ингушетия,Массажный салон,4,3.0
Республика Ингушетия,Парикмахерская,4,4.0
Республика Ингушетия,Быстрое питание,3,5.0
Республика Ингушетия,Гостиница,3,6.0
Республика Ингушетия,Доставка еды и обедов,3,7.0
Республика Ингушетия,Кинотеатр,3,8.0
Республика Ингушетия,Антикафе,2,9.0
Республика Калмыкия,Кафе,46,1.0
Республика Калмыкия,Ресторан,43,2.0
Республика Калмыкия,Магазин продуктов,20,3.0
Республика Калмыкия,Гостиница,19,4.0
Республика Калмыкия,Достопримечательность,16,5.0
Республика Калмыкия,Быстрое питание,15,6.0
Республика Калмыкия,Супермаркет,15,7.0
Республика Калмыкия,Кальян-бар,14,8.0
Республика Калмыкия,Парк культуры и отдыха,13,9.0
Республика Карелия,Кафе,330,1.0
Республика Карелия,Ресторан,284,2.0
Республика Карелия,Гостиница,234,3.0
Республика Карелия,"Бар, паб",120,4.0
Республика Карелия,Супермаркет,116,5.0
Республика Карелия,Магазин продуктов,115,6.0
Республика Карелия,Салон красоты,102,7.0
Республика Карелия,Ногтевая студия,85,8.0
Республика Карелия,Быстрое питание,80,9.0
Республика Коми,Ресторан,87,1.0
Республика Коми,Кафе,76,2.0
Республика Коми,Гостиница,64,3.0
Республика Коми,Салон красоты,37,4.0
Республика Коми,Магазин продуктов,32,5.0
Республика Коми,Супермаркет,29,6.0
Республика Коми,Ногтевая студия,27,7.0
Республика Коми,"Бар, паб",22,8.0
Республика Коми,Быстрое питание,20,9.0
Республика Крым,Ресторан,1104,1.0
Республика Крым,Кафе,1055,2.0
Республика Крым,Гостиница,728,3.0
Республика Крым,Магазин продуктов,329,4.0
Республика Крым,Супермаркет,326,5.0
Республика Крым,"Бар, паб",325,6.0
Республика Крым,Салон красоты,311,7.0
Республика Крым,Быстрое питание,301,8.0
Республика Крым,Доставка еды и обедов,236,9.0
Республика Марий Эл,Кафе,127,1.0
Республика Марий Эл,Ресторан,107,2.0
Республика Марий Эл,Гостиница,83,3.0
Республика Марий Эл,"Бар, паб",48,4.0
Республика Марий Эл,Супермаркет,47,5.0
Республика Марий Эл,Магазин продуктов,36,6.0
Республика Марий Эл,Быстрое питание,35,7.0
Республика Марий Эл,Салон красоты,35,8.0
Республика Марий Эл,Музей,30,9.0
Республика Мордовия,Кафе,128,1.0
Республика Мордовия,Ресторан,111,2.0
Республика Мордовия,Гостиница,80,3.0
Республика Мордовия,Доставка еды и обедов,54,4.0
Республика Мордовия,Супермаркет,52,5.0
Республика Мордовия,Магазин продуктов,43,6.0
Республика Мордовия,"Бар, паб",41,7.0
Республика Мордовия,Быстрое питание,40,8.0
Республика Мордовия,Салон красоты,35,9.0
Республика Саха (Якутия),Кафе,43,1.0
Республика Саха (Якутия),Ресторан,33,2.0
Республика Саха (Якутия),Гостиница,22,3.0
Республика Саха (Якутия),"Бар, паб",13,4.0
Республика Саха (Якутия),Доставка еды и обедов,12,5.0
Республика Саха (Якутия),Супермаркет,12,6.0
Республика Саха (Якутия),Кофейня,11,7.0
Республика Саха (Якутия),Магазин продуктов,11,8.0
Республика Саха (Якутия),"Автосервис, автотехцентр",9,9.0
Республика Северная Осетия — Алания,Кафе,143,1.0
Республика Северная Осетия — Алания,Гостиница,113,2.0
Республика Северная Осетия — Алания,Ресторан,113,3.0
Республика Северная Осетия — Алания,Магазин продуктов,52,4.0
Республика Северная Осетия — Алания,Супермаркет,45,5.0
Республика Северная Осетия — Алания,Быстрое питание,39,6.0
Республика Северная Осетия — Алания,Салон красоты,36,7.0
Республика Северная Осетия — Алания,Доставка еды и обедов,34,8.0
Республика Северная Осетия — Алания,Ногтевая студия,29,9.0
Республика Татарстан,Кафе,1254,1.0
Республика Татарстан,Ресторан,1223,2.0
Республика Татарстан,Гостиница,1027,3.0
Республика Татарстан,Магазин продуктов,505,4.0
Республика Татарстан,Супермаркет,478,5.0
Республика Татарстан,Салон красоты,430,6.0
Республика Татарстан,"Бар, паб",375,7.0
Республика Татарстан,Быстрое питание,368,8.0
Республика Татарстан,Доставка еды и обедов,334,9.0
Республика Тыва,Ресторан,11,1.0
Республика Тыва,Пиццерия,6,2.0
Республика Тыва,Гостиница,5,3.0
Республика Тыва,Кафе,5,4.0
Республика Тыва,Торговый центр,5,5.0
Республика Тыва,Доставка еды и обедов,4,6.0
Республика Тыва,Косметология,3,7.0
Республика Тыва,Магазин обуви,3,8.0
Республика Тыва,Стоматологическая клиника,3,9.0
Республика Хакасия,Кафе,78,1.0
Республика Хакасия,Ресторан,63,2.0
Республика Хакасия,Гостиница,45,3.0
Республика Хакасия,Супермаркет,34,4.0
Республика Хакасия,Магазин продуктов,33,5.0
Республика Хакасия,"Бар, паб",25,6.0
Республика Хакасия,Доставка еды и обедов,22,7.0
Республика Хакасия,Быстрое питание,19,8.0
Республика Хакасия,Банкетный зал,17,9.0
Ростов-на-Дону,Кафе,904,1.0
Ростов-на-Дону,Ресторан,893,2.0
Ростов-на-Дону,Гостиница,703,3.0
Ростов-на-Дону,"Бар, паб",342,4.0
Ростов-на-Дону,Супермаркет,318,5.0
Ростов-на-Дону,Магазин продуктов,308,6.0
Ростов-на-Дону,Быстрое питание,306,7.0
Ростов-на-Дону,Салон красоты,295,8.0
Ростов-на-Дону,Доставка еды и обедов,237,9.0
Ростовская обл.,Банкетный зал,5,1.0
Ростовская обл.,Ресторан,4,2.0
Ростовская обл.,Выставочный центр,3,3.0
Ростовская обл.,Кафе,3,4.0
Ростовская обл.,Кофейня,3,5.0
Ростовская обл.,Организация мероприятий,3,6.0
Ростовская обл.,Быстрое питание,2,7.0
Ростовская обл.,Гостиница,2,8.0
Ростовская обл.,Супермаркет,2,9.0
Ростовская область,Кафе,652,1.0
Ростовская область,Ресторан,605,2.0
Ростовская область,Гостиница,404,3.0
Ростовская область,Магазин продуктов,253,4.0
Ростовская область,Салон красоты,222,5.0
Ростовская область,"Бар, паб",220,6.0
Ростовская область,Супермаркет,206,7.0
Ростовская область,Быстрое питание,198,8.0
Ростовская область,Доставка еды и обедов,163,9.0
Рязанская обл.,Кафе,2,1.0
Рязанская обл.,Автошкола,1,2.0
Рязанская обл.,Достопримечательность,1,3.0
Рязанская обл.,Жанровая скульптура,1,4.0
Рязанская обл.,Изделия из камня,1,5.0
Рязанская обл.,Кейтеринг,1,6.0
Рязанская обл.,Лазерные работы,1,7.0
Рязанская обл.,Металлообработка,1,8.0
Рязанская обл.,Монастырь,1,9.0
Рязанская область,Кафе,57,1.0
Рязанская область,Гостиница,53,2.0
Рязанская область,Ресторан,51,3.0
Рязанская область,"Бар, паб",21,4.0
Рязанская область,Магазин продуктов,20,5.0
Рязанская область,Парикмахерская,20,6.0
Рязанская область,Салон красоты,19,7.0
Рязанская область,Быстрое питание,16,8.0
Рязанская область,Ногтевая студия,16,9.0
Рязанский район,Кафе,37,1.0
Рязанский район,Ресторан,36,2.0
Рязанский район,Гостиница,35,3.0
Рязанский район,Супермаркет,19,4.0
Рязанский район,Ногтевая студия,15,5.0
Рязанский район,Пиццерия,15,6.0
Рязанский район,Товары для дома,15,7.0
Рязанский район,Доставка еды и обедов,14,8.0
Рязанский район,Салон красоты,14,9.0
Рязань,Кафе,283,1.0
Рязань,Ресторан,247,2.0
Рязань,Гостиница,207,3.0
Рязань,Супермаркет,104,4.0
Рязань,Магазин продуктов,101,5.0
Рязань,"Бар, паб",92,6.0
Рязань,"Автосервис, автотехцентр",68,7.0
Рязань,Салон красоты,67,8.0
Рязань,Быстрое питание,61,9.0
Самара,Ресторан,687,1.0
Самара,Кафе,674,2.0
Самара,Гостиница,482,3.0
Самара,Магазин продуктов,255,4.0
Самара,Супермаркет,238,5.0
Самара,Салон красоты,226,6.0
Самара,"Бар, паб",225,7.0
Самара,Доставка еды и обедов,192,8.0
Самара,Быстрое питание,182,9.0
Самарская обл.,Ногтевая студия,4,1.0
Самарская обл.,Аварийный комиссар,2,2.0
Самарская обл.,"Автоэкспертиза, оценка автомобилей",2,3.0
Самарская обл.,Ветеринарная клиника,1,4.0
Самарская обл.,Гостиница,1,5.0
Самарская обл.,Косметология,1,6.0
Самарская обл.,"Магазин мяса, колбас",1,7.0
Самарская обл.,Продукты глубокой заморозки,1,8.0
Самарская обл.,Пункт проката,1,9.0
Самарская область,Ресторан,368,1.0
Самарская область,Кафе,359,2.0
Самарская область,Гостиница,305,3.0
Самарская область,Салон красоты,132,4.0
Самарская область,"Бар, паб",120,5.0
Самарская область,Супермаркет,120,6.0
Самарская область,Магазин продуктов,115,7.0
Самарская область,Быстрое питание,95,8.0
Самарская область,Кофейня,91,9.0
Санкт-Петербург,Кафе,6258,1.0
Санкт-Петербург,Ресторан,5990,2.0
Санкт-Петербург,Гостиница,4247,3.0
Санкт-Петербург,Магазин продуктов,2224,4.0
Санкт-Петербург,Супермаркет,1982,5.0
Санкт-Петербург,"Бар, паб",1972,6.0
Санкт-Петербург,Салон красоты,1888,7.0
Санкт-Петербург,Быстрое питание,1690,8.0
Санкт-Петербург,Доставка еды и обедов,1485,9.0
Саратов,Кафе,389,1.0
Саратов,Ресторан,379,2.0
Саратов,Гостиница,267,3.0
Саратов,Магазин продуктов,134,4.0
Саратов,Супермаркет,128,5.0
Саратов,Быстрое питание,122,6.0
Саратов,"Бар, паб",112,7.0
Саратов,Салон красоты,112,8.0
Саратов,Доставка еды и обедов,103,9.0
Саратовская обл.,Ресторан,2,1.0
Саратовская обл.,Банкетный зал,1,2.0
Саратовская обл.,Быстрое питание,1,3.0
Саратовская обл.,Дополнительное образование,1,4.0
Саратовская обл.,Кафе,1,5.0
Саратовская обл.,Курсы и мастер-классы,1,6.0
Саратовская обл.,Магазин продуктов,1,7.0
Саратовская обл.,Массажный салон,1,8.0
Саратовская обл.,Спортивная одежда и обувь,1,9.0
Саратовская область,Кафе,209,1.0
Саратовская область,Ресторан,157,2.0
Саратовская область,Гостиница,139,3.0
Саратовская область,Магазин продуктов,75,4.0
Саратовская область,Быстрое питание,63,5.0
Саратовская область,"Бар, паб",62,6.0
Саратовская область,Супермаркет,55,7.0
Саратовская область,Салон красоты,53,8.0
Саратовская область,Доставка еды и обедов,48,9.0
Саратовский район,Коррекция зрения,3,1.0
Саратовский район,"Медцентр, клиника",3,2.0
Саратовский район,Ресторан,3,3.0
Саратовский район,"База, дом отдыха",2,4.0
Саратовский район,Выкуп автомобилей,2,5.0
Саратовский район,Выставочный центр,2,6.0
Саратовский район,Гостиница,2,7.0
Саратовский район,Музей,2,8.0
Саратовский район,Парк аттракционов,2,9.0
Сахалинская область,Кафе,70,1.0
Сахалинская область,Ресторан,51,2.0
Сахалинская область,Гостиница,45,3.0
Сахалинская область,Магазин продуктов,30,4.0
Сахалинская область,"Бар, паб",19,5.0
Сахалинская область,Быстрое питание,18,6.0
Сахалинская область,Супермаркет,16,7.0
Сахалинская область,Торговый центр,16,8.0
Сахалинская область,Кондитерская,13,9.0
Свердловская обл.,Магазин продуктов,3,1.0
